Question,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Correct Answers,Overall Explanation,Domain
Which AWS service provides managed relational databases?,Amazon DynamoDB,"DynamoDB is a NoSQL database, not relational.",Amazon RDS,Correct! RDS manages relational DBs like MySQL and PostgreSQL.,Amazon S3,"S3 is object storage, not a database.",Amazon EC2,"EC2 is a compute service, not a database.",2,"Amazon RDS (Relational Database Service) provides managed relational databases including MySQL, PostgreSQL, Oracle, and SQL Server.",Database
What does S3 stand for in Amazon S3?,Simple Storage Solution,Incorrect expansion.,Simple Scalable Storage,Incorrect expansion.,Simple Storage Service,Correct! S3 = Simple Storage Service.,Secure Storage Service,Incorrect expansion.,3,"Amazon S3 stands for Simple Storage Service. It is an object storage service offering scalability, data availability, security, and performance.",Storage
Which AWS service is used for DNS management?,Amazon CloudFront,"CloudFront is a CDN, not DNS.",Amazon Route 53,Correct! Route 53 is AWS's DNS web service.,Amazon VPC,"VPC is for virtual networking, not DNS.",Amazon EC2,"EC2 is compute, not DNS.",2,Amazon Route 53 is a scalable and highly available Domain Name System (DNS) web service designed to route end users to Internet applications.,Networking
What is the maximum size of an S3 object?,1 GB,Incorrect.,5 TB,Correct! Maximum S3 object size is 5 TB.,100 GB,Incorrect.,500 MB,Incorrect.,2,"The maximum size of an S3 object is 5 TB. For objects larger than 100 MB, Amazon recommends using multipart upload.",Storage
Which EC2 pricing model provides the highest discount?,On-Demand,On-Demand has no discount — you pay per hour/second.,Reserved Instances,Reserved gives up to 72% discount for 1 or 3 year commitment.,Spot Instances,Correct! Spot can be up to 90% cheaper than On-Demand.,Dedicated Hosts,"Dedicated Hosts are for compliance, not maximum savings.",3,EC2 Spot Instances can be up to 90% cheaper than On-Demand instances. They use spare EC2 capacity and can be interrupted by AWS with 2-minute notice.,Compute
Which service provides a virtual private network in AWS?,AWS Direct Connect,"Direct Connect is dedicated physical connection, not VPN.",Amazon VPC,Correct! VPC lets you provision a logically isolated section of the AWS Cloud.,AWS CloudTrail,CloudTrail is for auditing API calls.,Amazon GuardDuty,GuardDuty is a threat detection service.,2,Amazon Virtual Private Cloud (VPC) enables you to launch AWS resources into a virtual network that you define. You have complete control over your virtual networking environment.,Networking
What is AWS IAM used for?,Managing virtual machines,"IAM is for identity management, not VMs.",Managing DNS records,IAM is not related to DNS.,Identity and Access Management,Correct! IAM controls who can access AWS resources.,Managing databases,IAM is not specifically for databases.,3,"AWS Identity and Access Management (IAM) enables you to manage access to AWS services and resources securely. You can create and manage AWS users and groups, and use permissions to allow and deny access.",Security
Which service provides content delivery network (CDN)?,Amazon S3,"S3 is storage, not CDN.",Amazon EC2,"EC2 is compute, not CDN.",Amazon CloudFront,Correct! CloudFront is AWS's CDN service.,Amazon RDS,"RDS is database, not CDN.",3,"Amazon CloudFront is a fast content delivery network (CDN) service that securely delivers data, videos, applications, and APIs with low latency and high transfer speeds.",Networking
Which AWS service is used for serverless computing?,Amazon EC2,EC2 requires server management.,AWS Lambda,Correct! Lambda runs code without provisioning servers.,Amazon ECS,"ECS manages containers, not truly serverless.",Amazon RDS,RDS is for databases.,2,AWS Lambda lets you run code without provisioning or managing servers. You pay only for the compute time you consume — there is no charge when your code is not running.,Compute
What does 'elasticity' mean in cloud computing?,Fixed resource allocation,Elasticity is the opposite of fixed allocation.,Ability to scale resources up and down as needed,Correct! Elasticity means dynamically adjusting capacity to meet demand.,Paying only for what you use,That describes the pay-as-you-go model.,Data redundancy across regions,That describes high availability.,2,Elasticity in cloud computing refers to the ability to dynamically acquire resources when needed and release them when they are no longer needed. This allows you to match capacity to demand automatically.,Cloud Concepts
Which AWS service provides managed relational databases?,Amazon DynamoDB,"DynamoDB is a NoSQL database, not relational.",Amazon RDS,Correct! RDS manages relational DBs like MySQL and PostgreSQL.,Amazon S3,"S3 is object storage, not a database.",Amazon EC2,"EC2 is a compute service, not a database.",2,"Amazon RDS (Relational Database Service) provides managed relational databases including MySQL, PostgreSQL, Oracle, and SQL Server.",Database
What does S3 stand for in Amazon S3?,Simple Storage Solution,Incorrect expansion.,Simple Scalable Storage,Incorrect expansion.,Simple Storage Service,Correct! S3 = Simple Storage Service.,Secure Storage Service,Incorrect expansion.,3,"Amazon S3 stands for Simple Storage Service. It is an object storage service offering scalability, data availability, security, and performance.",Storage
Which AWS service is used for DNS management?,Amazon CloudFront,"CloudFront is a CDN, not DNS.",Amazon Route 53,Correct! Route 53 is AWS's DNS web service.,Amazon VPC,"VPC is for virtual networking, not DNS.",Amazon EC2,"EC2 is compute, not DNS.",2,Amazon Route 53 is a scalable and highly available Domain Name System (DNS) web service designed to route end users to Internet applications.,Networking
What is the maximum size of an S3 object?,1 GB,Incorrect.,5 TB,Correct! Maximum S3 object size is 5 TB.,100 GB,Incorrect.,500 MB,Incorrect.,2,"The maximum size of an S3 object is 5 TB. For objects larger than 100 MB, Amazon recommends using multipart upload.",Storage
Which EC2 pricing model provides the highest discount?,On-Demand,On-Demand has no discount — you pay per hour/second.,Reserved Instances,Reserved gives up to 72% discount for 1 or 3 year commitment.,Spot Instances,Correct! Spot can be up to 90% cheaper than On-Demand.,Dedicated Hosts,"Dedicated Hosts are for compliance, not maximum savings.",3,EC2 Spot Instances can be up to 90% cheaper than On-Demand instances. They use spare EC2 capacity and can be interrupted by AWS with 2-minute notice.,Compute
Which service provides a virtual private network in AWS?,AWS Direct Connect,"Direct Connect is dedicated physical connection, not VPN.",Amazon VPC,Correct! VPC lets you provision a logically isolated section of the AWS Cloud.,AWS CloudTrail,CloudTrail is for auditing API calls.,Amazon GuardDuty,GuardDuty is a threat detection service.,2,Amazon Virtual Private Cloud (VPC) enables you to launch AWS resources into a virtual network that you define. You have complete control over your virtual networking environment.,Networking
What is AWS IAM used for?,Managing virtual machines,"IAM is for identity management, not VMs.",Managing DNS records,IAM is not related to DNS.,Identity and Access Management,Correct! IAM controls who can access AWS resources.,Managing databases,IAM is not specifically for databases.,3,"AWS Identity and Access Management (IAM) enables you to manage access to AWS services and resources securely. You can create and manage AWS users and groups, and use permissions to allow and deny access.",Security
